epoch,lr-SGD,step,train_acc,train_loss,val_acc,val_loss
31,,95,1.0,0.02390787936747074,,
,0.007679366061497497,96,,,,
32,,98,,,0.5063999891281128,2.0669362545013428
32,,98,1.0,0.022535309195518494,,
,0.007545452558043985,99,,,,
33,,101,,,0.5067999958992004,2.0650627613067627
33,,101,1.0,0.021845607087016106,,
,0.007409027493671529,102,,,,
34,,104,,,0.5088000297546387,2.0603692531585693
34,,104,1.0,0.019873278215527534,,
,0.0072702255034478675,105,,,,
35,,107,,,0.5081999897956848,2.0575625896453857
35,,107,1.0,0.01859532855451107,,
,0.007129183568179584,108,,,,
36,,110,,,0.5103999972343445,2.0555782318115234
36,,110,1.0,0.01674698106944561,,
,0.006986040879228589,111,,,,
37,,113,,,0.5108000040054321,2.055119037628174
37,,113,1.0,0.018032044172286987,,
,0.006840938701147052,114,,,,
38,,116,,,0.5113999843597412,2.057039499282837
38,,116,1.0,0.018365779891610146,,
,0.006694020232266339,117,,,,
39,,119,,,0.5109999775886536,2.059535264968872
39,,119,1.0,0.01597304455935955,,
,0.006545430463377554,120,,,,
40,,122,,,0.5117999911308289,2.0607526302337646
40,,122,1.0,0.015783948823809624,,
,0.006395316034643131,123,,,,
41,,125,,,0.5103999972343445,2.0620014667510986
41,,125,1.0,0.015430372208356857,,
,0.006243825090880694,126,,,,
42,,128,,,0.5109999775886536,2.062420129776001
42,,128,1.0,0.015610207803547382,,
,0.006091107135362019,129,,,,
43,,131,,,0.5098000168800354,2.0641467571258545
43,,131,1.0,0.01512987818568945,,
,0.005937312882271334,132,,,,
44,,134,,,0.5094000101089478,2.0648727416992188
44,,134,1.0,0.013500123284757137,,
,0.005782594107968638,135,,,,
45,,137,,,0.510200023651123,2.0667037963867188
45,,137,1.0,0.014324922114610672,,
,0.005627103501204743,138,,,,
46,,140,,,0.5103999972343445,2.0676417350769043
46,,140,1.0,0.014069772325456142,,
,0.005470994512435915,141,,,,
47,,143,,,0.5103999972343445,2.067641496658325
47,,143,1.0,0.013440191745758057,,
,0.005314421202386805,144,,,,
48,,146,,,0.5091999769210815,2.0686960220336914
48,,146,1.0,0.014170047827064991,,
,0.005157538090011105,147,,,,
49,,149,,,0.5095999836921692,2.069948434829712
49,,149,1.0,0.012751993723213673,,
,0.005000500000000002,150,,,,
50,,152,,,0.5099999904632568,2.070843458175659
50,,152,1.0,0.01204433012753725,,
,0.0048434619099889,153,,,,
