epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.005,0,,,,,,
0,,350,,,,,0.7685999870300293,0.8060342669487
0,,350,,,0.6182781457901001,1.6077686548233032,,
,0.004995067807706465,351,,,,,,
1,,701,,,,,0.7972000241279602,0.6801847219467163
1,,701,,,0.7821180820465088,0.7543646097183228,,
,0.0049802906959355376,702,,,,,,
2,,1052,,,,,0.8051999807357788,0.646100640296936
2,,1052,,,0.8090500235557556,0.6442564725875854,,
,0.004955726983196357,1053,,,,,,
3,,1403,,,,,0.8091999888420105,0.6219637393951416
3,,1403,,,0.8262330889701843,0.5813299417495728,,
,0.004921473611241013,1404,,,,,,
4,,1754,,,,,0.8109999895095825,0.6159388422966003
4,,1754,,,0.836471676826477,0.5424196720123291,,
,0.004877665762479736,1755,,,,,,
5,,2105,,,,,0.8158000111579895,0.5962700247764587
5,,2105,,,0.8429264426231384,0.5174177289009094,,
,0.004824476326477684,2106,,,,,,
6,,2456,,,,,0.8133999705314636,0.6011983156204224
6,,2456,,,0.8493589758872986,0.4961804747581482,,
,0.004762115217638816,2457,,,,,,
7,,2807,,,,,0.8137999773025513,0.5988405346870422
7,,2807,,,0.853676974773407,0.47748076915740967,,
,0.004690828546769637,2808,,,,,,
8,,3158,,,,,0.8199999928474426,0.5973390340805054
8,,3158,,,0.8585292100906372,0.4622841477394104,,
,0.004610897649792287,3159,,,,,,
9,,3509,,,,,0.8136000037193298,0.5982235074043274
9,,3509,,,0.8626246452331543,0.444438099861145,,
,0.004522637977440181,3510,,,,,,
10,,3860,,,,,0.8190000057220459,0.5997678637504578
10,,3860,,,0.8642494678497314,0.4349060356616974,,
,0.004426397850318085,3861,,,,,,
11,,4211,,,,,0.819599986076355,0.6017266511917114
11,,4211,,,0.8692797422409058,0.4225752055644989,,
,0.004322557084239818,4212,,,,,,
12,,4562,,,,,0.8205999732017517,0.593436062335968
12,,4562,,,0.87163907289505,0.41435277462005615,,
,0.004211525491268757,4563,,,,,,
13,,4913,,,,,0.8113999962806702,0.5998303294181824
13,,4913,,,0.8731748461723328,0.40753182768821716,,
,0.00409374126237685,4914,,,,,,
14,,5264,,,,,0.8181999921798706,0.6072292923927307
14,,5264,,,0.8764690160751343,0.39881667494773865,,
,0.003969669238105038,5265,,,,,,
15,,5615,,,,,0.8159999847412109,0.6035654544830322
15,,5615,,,0.87678062915802,0.39288055896759033,,
,0.0038397990740500023,5616,,,,,,
16,,5966,,,,,0.8151999711990356,0.6044436693191528
16,,5966,,,0.8794070482254028,0.38703635334968567,,
,0.0037046433084172376,5967,,,,,,
17,,6317,,,,,0.8116000294685364,0.6077616214752197
17,,6317,,,0.8808760643005371,0.3800097107887268,,
,0.003564735339266899,6318,,,,,,
18,,6668,,,,,0.8149999976158142,0.6081888675689697
18,,6668,,,0.88370281457901,0.3729272782802582,,
,0.003420627319435353,6669,,,,,,
19,,7019,,,,,0.8154000043869019,0.6090905666351318
19,,7019,,,0.8834579586982727,0.3699548542499542,,
,0.0032728879774401812,7020,,,,,,
20,,7370,,,,,0.817799985408783,0.6063124537467957
20,,7370,,,0.8881989121437073,0.3622002601623535,,
,0.0031221003729685545,7371,,,,,,
21,,7721,,,,,0.8167999982833862,0.6038877964019775
21,,7721,,,0.886729896068573,0.35770028829574585,,
,0.0029688595958070195,7722,,,,,,
22,,8072,,,,,0.8162000179290771,0.6048551797866821
22,,8072,,,0.8905804753303528,0.3528379499912262,,
23,,8073,0.8246999979019165,0.5867304801940918,,,,
