epoch,lr-SGD,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.005,0,,,,,,
0,,350,,,,,0.7685999870300293,0.8060342669487
0,,350,,,0.6182781457901001,1.6077686548233032,,
,0.005,351,,,,,,
1,,701,,,,,0.7972000241279602,0.6801623702049255
1,,701,,,0.7820735573768616,0.7543517351150513,,
,0.005,702,,,,,,
2,,1052,,,,,0.8050000071525574,0.6460486054420471
2,,1052,,,0.8089165091514587,0.644283652305603,,
,0.005,1053,,,,,,
3,,1403,,,,,0.8090000152587891,0.622010350227356
3,,1403,,,0.8261440396308899,0.5814192891120911,,
,0.005,1404,,,,,,
4,,1754,,,,,0.8104000091552734,0.6163042783737183
4,,1754,,,0.8362045884132385,0.5426111221313477,,
,0.005,1755,,,,,,
5,,2105,,,,,0.8158000111579895,0.5964003205299377
5,,2105,,,0.8429042100906372,0.5177432298660278,,
,0.005,2106,,,,,,
6,,2456,,,,,0.8131999969482422,0.601753294467926
6,,2456,,,0.8489806056022644,0.4967646896839142,,
,0.005,2457,,,,,,
7,,2807,,,,,0.8123999834060669,0.6005731225013733
7,,2807,,,0.8532763719558716,0.4782671332359314,,
,0.005,2808,,,,,,
8,,3158,,,,,0.8208000063896179,0.5988930463790894
8,,3158,,,0.8579950332641602,0.46339187026023865,,
,0.005,3159,,,,,,
9,,3509,,,,,0.8118000030517578,0.6003130078315735
9,,3509,,,0.8621572256088257,0.44568800926208496,,
,0.005,3510,,,,,,
10,,3860,,,,,0.8185999989509583,0.6036166548728943
10,,3860,,,0.8638488054275513,0.4365246891975403,,
,0.005,3861,,,,,,
11,,4211,,,,,0.8173999786376953,0.6062823534011841
11,,4211,,,0.8678997755050659,0.4243593215942383,,
,0.005,4212,,,,,,
12,,4562,,,,,0.819599986076355,0.5981103777885437
12,,4562,,,0.8705039024353027,0.4166962206363678,,
,0.005,4563,,,,,,
13,,4913,,,,,0.8113999962806702,0.605030357837677
13,,4913,,,0.8709713220596313,0.41060054302215576,,
,0.005,4914,,,,,,
14,,5264,,,,,0.8162000179290771,0.6146995425224304
14,,5264,,,0.8748441934585571,0.4019283354282379,,
,0.005,5265,,,,,,
15,,5615,,,,,0.8149999976158142,0.6102652549743652
15,,5615,,,0.8740651607513428,0.3962344229221344,,
,0.005,5616,,,,,,
16,,5966,,,,,0.8149999976158142,0.613434910774231
16,,5966,,,0.8784054517745972,0.39084354043006897,,
,0.005,5967,,,,,,
17,,6317,,,,,0.8109999895095825,0.6166130304336548
17,,6317,,,0.879273533821106,0.38457974791526794,,
,0.005,6318,,,,,,
18,,6668,,,,,0.8126000165939331,0.6197019219398499
18,,6668,,,0.8803864121437073,0.37755098938941956,,
19,,6669,0.8202999830245972,0.5974777340888977,,,,
